iso3,year,electoral_system,threshold
AIA,1989,0,0
AIA,1994,0,0
AIA,1999,0,0
AIA,2000,0,0
AIA,2005,0,0
AIA,2010,0,0
AIA,2015,0,0
AIA,2020,0,0
ATG,1951,0,0
ATG,1956,0,0
ATG,1960,0,0
ATG,1965,0,0
ATG,1971,0,0
ATG,1976,0,0
ATG,1980,0,0
ATG,1984,0,0
ATG,1989,0,0
ATG,1994,0,0
ATG,1999,0,0
ATG,2004,0,0
ATG,2009,0,0
ATG,2014,0,0
ATG,2018,0,0
BHS,1997,0,0
BHS,2002,0,0
BHS,2007,0,0
BHS,2012,0,0
BHS,2017,0,0
BHS,2021,0,0
BLZ,1954,0,0
BLZ,1957,0,0
BLZ,1961,0,0
BLZ,1965,0,0
BLZ,1969,0,0
BLZ,1974,0,0
BLZ,1979,0,0
BLZ,1984,0,0
BLZ,1989,0,0
BLZ,1993,0,0
BLZ,1998,0,0
BLZ,2003,0,0
BLZ,2008,0,0
BLZ,2012,0,0
BLZ,2015,0,0
BLZ,2020,0,0
BMU,1963,5,0
BMU,1972,5,0
BMU,1976,5,0
BMU,1980,5,0
BMU,1983,5,0
BMU,1985,5,0
BMU,1989,5,0
BMU,1993,5,0
BMU,1998,5,0
BMU,2003,0,0
BMU,2007,0,0
BMU,2012,0,0
BMU,2017,0,0
BMU,2020,0,0
DMA,1995,0,0
DMA,2000,0,0
DMA,2005,0,0
DMA,2009,0,0
DMA,2014,0,0
DMA,2019,0,0
FSM,2015,0,0
FSM,2019,0,0
FSM,2021,0,0
GRD,1951,0,0
GRD,1954,0,0
GRD,1957,0,0
GRD,1961,0,0
GRD,1962,0,0
GRD,1967,0,0
GRD,1972,0,0
GRD,1976,0,0
GRD,1984,0,0
GRD,1990,0,0
GRD,1995,0,0
GRD,1999,0,0
GRD,2003,0,0
GRD,2008,0,0
GRD,2013,0,0
GRD,2018,0,0
KNA,1952,0,0
KNA,1957,0,0
KNA,1961,0,0
KNA,1966,0,0
KNA,1971,0,0
KNA,1975,0,0
KNA,1980,0,0
KNA,1984,0,0
KNA,1989,0,0
KNA,1993,0,0
KNA,1995,0,0
KNA,2000,0,0
KNA,2004,0,0
KNA,2010,0,0
KNA,2015,0,0
KNA,2020,0,0
KNA,2022,0,0
LCA,1951,0,0
LCA,1954,0,0
LCA,1957,0,0
LCA,1961,0,0
LCA,1964,0,0
LCA,1969,0,0
LCA,1974,0,0
LCA,1979,0,0
LCA,1982,0,0
LCA,1987,0,0
LCA,1992,0,0
LCA,1997,0,0
LCA,2001,0,0
LCA,2006,0,0
LCA,2011,0,0
LCA,2016,0,0
LCA,2021,0,0
TON,2010,0,0
TON,2014,0,0
TON,2017,0,0
VCT,1951,0,0
VCT,1954,0,0
VCT,1957,0,0
VCT,1961,0,0
VCT,1966,0,0
VCT,1967,0,0
VCT,1972,0,0
VCT,1974,0,0
VCT,1979,0,0
VCT,1984,0,0
VCT,1989,0,0
VCT,1994,0,0
VCT,1998,0,0
VCT,2001,0,0
VCT,2005,0,0
VCT,2010,0,0
VCT,2015,0,0
VCT,2020,0,0
WSM,2001,0,0
WSM,2006,0,0
WSM,2011,0,0
WSM,2016,0,0
WSM,2020,0,0
