District,PS_pct,PS_mandate,PSD_pct,PSD_mandate,CDU_pct,CDU_mandate,CDSPP_pct,CDSPP_mandate,BE_pct,BE_mandate,mag,Source,cst
Azores ,53.3,3,35.8,2,1.7,0,5.6,0,1.1,0,5,,1
Aveiro ,40.2,7,38.3,6,3.5,0,13.6,2,1.3,0,15,,2
Beja ,46.7,2,14.5,0,28.3,1,3.9,0,1.6,0,3,,3
Braga ,44.3,8,36.7,7,5.4,1,8.9,1,1.2,0,17,,4
Bragança ,39.7,2,45.1,2,2.6,0,8.7,0,0.8,0,4,,5
Castelo Branco ,51.6,3,32,2,5.3,0,6.3,0,1.2,0,5,,6
Coimbra ,47.2,6,35.2,4,6.1,0,6,0,2,0,10,,7
Évora ,45.7,2,18.7,1,24.6,1,5.1,0,1.5,0,4,,8
Faro ,48.4,5,29.5,3,8.3,0,7.3,0,2.3,0,8,,9
Guarda ,43.4,2,39.2,2,3.2,0,9.8,0,1.1,0,4,,10
Leiria ,36.8,4,42.6,5,5.3,0,9.9,1,1.7,0,10,,11
Lisbon ,42.7,23,27.3,14,12.3,6,8.5,4,4.9,2,49,,12
Madeira ,35.1,2,46.2,3,2.8,0,10.9,0,1.2,0,5,,13
Portalegre ,51.2,2,22.5,1,15,0,5.9,0,1.2,0,3,,14
Porto ,48,19,32.7,13,6.2,2,7.5,3,2.3,0,37,,15
Santarém ,45.5,5,30.2,3,10.1,1,8.1,1,2,0,10,,16
Setúbal ,43.7,8,18,3,24.8,5,5.6,1,3.5,0,17,,17
Viana do Castelo ,40.2,3,35.8,2,5,0,14,1,1.2,0,6,,18
Vila Real ,40.8,2,45.5,3,2.4,0,6.8,0,0.8,0,5,,19
Viseu ,38.1,4,44.3,4,2.2,0,10.5,1,1.2,0,9,,20
Europe ,55.4,2,24.7,0,5.3,0,3.2,0,0.6,0,2,,21
Outside Europe ,39.8,1,49.5,1,1.7,0,3.5,0,0.4,0,2,,22
Total ,44.1,115,32.3,81,9,17,8.3,15,2.4,2,230,,
