District,PS_pct,PS_mandate,PSD_pct,PSD_mandate,CDU_pct,CDU_mandate,CDSPP_pct,CDSPP_mandate,BE_pct,BE_mandate,mag,cst
Azores ,53.1,3,34.4,2,1.7,0,4,0,2.9,0,5,1
Aveiro ,41.1,8,35.7,6,3.5,0,9.8,1,5.1,0,15,2
Beja ,51,2,12.3,0,24.1,1,2.9,0,4.7,0,3,3
Braga ,45.4,9,32.9,7,4.8,1,7.8,1,4.6,0,18,4
Bragança ,42.1,2,39,2,2,0,9.7,0,2.5,0,4,5
Castelo Branco ,56,4,26.7,1,3.8,0,5.3,0,3.7,0,5,6
Coimbra ,45.4,6,31.9,4,5.5,0,5.5,0,6.3,0,10,7
Évora ,49.7,2,16.7,0,20.9,1,3.7,0,4.6,0,3,8
Faro ,49.3,6,24.6,2,6.9,0,5.8,0,7.7,0,8,9
Guarda ,46.8,2,34.7,2,2.9,0,7,0,3.4,0,4,10
Leiria ,35.6,4,39.8,5,4.6,0,8.9,1,5.5,0,10,11
Lisbon ,44.1,23,23.7,12,9.8,5,8.2,4,8.8,4,48,12
Madeira ,35,3,45.2,3,3.6,0,6.6,0,3.8,0,6,13
Portalegre ,54.9,2,20.2,0,12.1,0,4.2,0,4.6,0,2,14
Porto ,48.5,20,27.8,12,5.4,2,6.9,2,6.7,2,38,15
Santarém ,46.1,6,26.4,3,8.6,1,6.9,0,6.5,0,10,16
Setúbal ,43.6,8,16.1,3,20,3,5.1,1,10.3,2,17,17
Viana do Castelo ,42,3,33.5,2,3.8,0,11.4,1,4.5,0,6,18
Vila Real ,43.8,3,40.2,2,2.6,0,6.8,0,2.4,0,5,19
Viseu ,40.4,4,40.2,4,2.2,0,8.6,1,3.3,0,9,20
Europe ,54.3,1,27.2,1,4.2,0,3.4,0,2.3,0,2,21
Outside Europe ,26.3,0,57.7,2,1,0,3.5,0,0.7,0,2,22
