Valkrets,cst,H,B,L,Fri,SAP,K,mag,Source
Stockholms stad,18,7,0,1,1,7,2,18,"Tab BB, https://web.archive.org/web/20150924122135/http://www.scb.se/Grupp/Hitta_statistik/Historisk_statistik/_Dokument/Valstatistiken/Valstatistik%20Riksdagsmannavalen%201925%201926%201927%201928.pdf"
Stockholms län,17,3,1,0,1,4,1,10,
Uppsala län,20,1,1,0,1,2,0,5,
Södermanlands län,19,1,1,0,1,4,0,7,
Värmlands län,21,3,0,0,2,4,1,10,
Örebro län,27,2,0,0,2,4,0,8,
Västmanlands län,24,1,1,0,1,3,0,6,
Kopparbergs län,10,1,1,0,2,4,1,9,
Östergötlands län,28,5,1,0,1,5,0,12,
Jönköpings län,8,2,2,0,2,3,0,9,
Kronobergs län,12,3,1,0,0,2,0,6,
Kalmar län,9,5,1,0,1,2,0,9,
Gotlands län,3,1,2,0,0,0,0,3,
Blekinge län,1,3,0,0,1,2,0,6,
Kristianstads län,11,3,1,0,2,3,0,9,
Malmö,13,3,0,0,0,5,0,8,
Malmöhus,14,2,3,1,0,5,0,11,
Hallands län,6,2,2,1,0,2,0,7,
Göteborgs stad,5,3,0,0,0,5,0,8,
Bohus län,2,3,1,1,0,3,0,8,
Älvsborgs läns norra,25,3,1,0,1,2,0,7,
Älvsborgs läns södra,26,3,1,0,0,1,0,5,
Skaraborgs län,16,4,1,0,1,3,0,9,
Gävelborgs län,4,1,2,0,2,5,1,11,
Västernorrlands län,23,2,2,0,1,4,1,10,
Jämtlands län,7,1,1,0,1,2,0,5,
Västerbottens län,22,2,0,0,3,2,0,7,
Norrbottens län,15,3,0,0,1,2,1,7,
