Valkrets,cst_n,H,B,Fp,SAP,S,K,source
Stockholms stad,18,6,0,3,9,2,0,http://share.scb.se/ov9993/data/historisk%20statistik/SOS%201911-%2FValstatistiken%2FRiksdagsmannavalen%20(SOS)%201909-1968%2FValstatistik-Riksdagsmannavalen-1933-1934-1935-1936.pdf
Stockholms län,17,2,1,1,5,1,0,
Uppsala län,20,1,1,1,2,0,0,
Södermanlands län,19,1,1,1,4,0,0,
Värmlands län,21,1,1,2,5,1,0,
Örebro län,27,1,1,1,5,0,0,
Västmanlands län,24,0,1,1,4,0,0,
Kopparbergs län,10,1,1,1,5,1,0,
Östergötlands län,28,2,2,1,6,0,0,
Jönköpings län,8,1,2,3,3,0,0,
Kronobergs län,12,2,2,0,2,0,0,
Kalmar län,9,2,3,0,4,0,0,
Gotlands län,3,1,1,0,1,0,0,
Blekinge län,1,1,1,1,2,0,0,
Kristianstads län,11,1,2,1,5,0,0,
Malmö,13,3,0,0,6,0,0,
Malmöhus,14,1,3,1,5,0,0,
Hallands län,6,1,2,0,3,0,0,
Göteborgs stad,5,2,0,1,4,0,2,
Bohus län,2,2,1,1,4,0,0,
Älvsborgs läns norra,25,1,1,1,3,0,0,
Älvsborgs läns södra,26,2,1,0,2,0,0,
Skaraborgs län,16,2,3,1,3,0,0,
Gävelborgs län,4,1,2,1,5,1,0,
Västernorrlands län,23,1,1,1,6,0,1,
Jämtlands län,7,1,0,1,3,0,0,
Västerbottens län,22,2,1,2,3,0,0,
Norrbottens län,15,2,1,0,3,0,2,
