Valkrets,Högern_1936,Högern_1940,H_mandat,Bondeförbundet_1936,Bondeförbundet_1940,B_mandat,Fp_1936,Fp_1940,Fp_mandat,S_1936,S_1940,S_mandat,Socialist_1936,Socialist_1940,K_1936,K_1940,K_mandat,cst,mag
Stockhölmsstad,76058,83901,6,2894,NA,0,45934,41205,3,124754,160822,11,29781,5567,9517,17811,1,18,21
Stockholms_län,23235,24016,2,12408,8963,1,17013,17307,1,60537,73828,6,11924,2969,2710,4385,,17,10
Uppsala_län,9499,9668,1,11144,8939,1,9729,8879,0,27545,33708,3,5763,0,347,289,,20,5
Södermanlands_län,11030,11607,1,11541,10447,0,14221,11433,1,51916,57576,5,3910,861,551,759,,19,7
Östergötlands_län,28579,28141,2,19769,16329,1,12928,13480,1,80800,89555,7,2851,0,3100,2819,,28,11
Jönköpings_län,14484,15599,1,24029,22275,2,28852,24052,2,43097,53152,4,1854,0,2157,2603,,8,9
Kronobergs_län,14979,14796,1,19300,16287,2,5853,3662,0,25740,28975,3,1238,0,2548,2034,,12,6
Kalmar_län,21763,22076,2,27102,22671,2,6901,5393,0,43326,47957,4,379,0,3086,1748,,9,8
Gotlands_län,3900,4508,1,10698,7581,1,3683,3480,0,9249,9074,1,89,0,116,123,,3,3
Blekinge_län,13129,11303,1,7896,6335,0,7466,7067,1,28422,31163,3,1030,0,1848,1102,,1,5
Kristianstads_län,16962,17081,1,25753,21577,2,16215,14100,1,46567,54083,5,322,0,1357,502,,11,9
Fyrstadskretsen,29093,32913,3,2255,799,0,8754,10131,0,81648,93578,7,1096,0,1549,1465,,13,10
Malmöhus_län,15342,17387,1,34203,28761,2,13113,9977,1,69298,74070,6,1409,0,557,,,14,10
Hallands_län,14454,13555,1,24553,22460,2,2535,2730,0,25890,30015,2,804,0,1575,1583,,6,5
Göteborgsstad,30746,31639,2,NA,NA,0,13054,16051,1,54881,75271,6,7094,585,15946,19115,1,5,10
Bohus_län,20988,18601,1,15400,10341,1,10223,13833,1,38169,43220,4,1382,0,3157,3009,,2,7
Älvsborgs_norra,13785,12360,1,17425,14331,1,10867,11066,1,32465,36807,3,1381,0,1161,1100,,25,6
Älvsborgs_södra,20268,20158,2,12746,10585,1,6098,5782,0,25625,28903,2,1048,434,698,1128,,26,5
Skaraborgs_län,23264,23239,2,29610,22160,2,16208,14722,1,38991,43309,4,1360,0,1942,1496,,16,9
Värmlands_län,15015,14408,1,16235,12988,1,18189,15453,2,60995,68811,6,10904,1393,4965,4385,,21,10
Örebro_län,13246,12431,1,11851,9665,1,16260,14912,1,54792,59650,5,5863,1343,1328,2128,,27,8
Västmanlands_län,8090,8554,1,12253,10823,1,10270,8284,0,42257,46943,4,3338,2,1771,2238,,24,6
Kopparbergs_län,9550,9761,1,14439,11873,1,18851,15587,1,52418,64318,6,13404,2005,1531,2059,,10,9
Gävleborgs_län,11599,10095,1,15990,14059,1,13578,12318,1,58673,68760,7,12160,3273,6188,5576,,4,10
Västernorrlands_län,15773,13562,1,16700,14203,1,11436,12100,1,68403,69850,7,5821,0,7395,6874,,23,10
Jämtlands_län,10181,8965,1,7392,7211,0,8353,5315,0,28053,29308,4,431,0,1410,781,,7,5
Västerbottens_län,16735,15119,2,8493,7047,0,24806,21691,2,33812,38104,4,651,0,1599,1074,,22,8
Norrbottens_län,11034,12766,1,6761,5577,1,4771,3849,0,29797,35975,5,545,0,16410,12464,1,15,8
