Valkrets,Högern,H_Mandate,H_comparison,Bondeförbundet,B_Mandate,B_comparison,Folkpartiet,Fp_Mandate,Fp_comparison,Socialdemokraterna,S_Mandate,S_comparison,Kommunisterna,K_Mandate,K_comparison,Övriga,Summa,mag,cst,Source
Stockholms stad . .,78559,4,,896,0,,156768,9,,167709,9,,27912,2,,36,431880,24,18,https://runeberg.org/svda/1952/0077.html
Stockholms län ....,29866,2,1,10194,0,— 1,56813,4,—,84899,6,1,9531,0,— 1,——,191303,12,17,
Uppsala län ,11289,1,1,10475,0,— 1,19148,1,,39763,3,,1649,0,,4,82328,5,20,
Södermanlands län. .,11376,0,,12930,1,,27962,2,—,66262,4,—,1894,0,,2,120426,7,19,
Östergötlands län . .,29736,2,—,19776,1,——,35277,2,—,98926,6,—,5972,0,,—,189687,11,28,
Jönköpings län ....,21343,1,—,24826,2,—,39136,2,—,61433,4,—,3118,0,—,1,149857,9,8,
Kronobergs län ....,15061,1,—,18208,1,—,13270,1,—,32695,2,—,2618,0,,1,81853,5,12,
Kalmar län,24725,2,1,23213,2,,16107,1,,53847,3,— 1,2808,0,,1,120701,8,9,
Gotlands län ,4791,0,,8779,1,,5740,1,,10803,1,,40,0,,3,30156,3,3,
Blekinge län ,8850,0,,7432,0,,20390,2,,33247,3,,2024,0,,,71943,5,1,
Kristianstads län . .,23515,1,—,23744,1,— 1,29085,2,—,57572,4,,3,0,,1,133920,8,11,
Fyrstadskretsen . ..,46750,3,1,626,0,—,36978,2,—,103337,6,—,4137,0,,1,191829,11,13,
Malmöhus län ....,17674,1,,28593,2,—,25481,1,—,71684,4,— 1,642,0,,9,144083,8,14,
Hallands län ,12348,1,1,24233,1,— 1,16202,1,,34149,2,,1696,0,,3,88631,5,6,
Göteborgs stad ....,22039,1,,330,0,,83499,5,1,73149,5,+ I,22828,1,— 1,2305,204150,12,5,
Göteborgs o. Bohus 1.,13894,1,—,12124,1,—,33706,2,,42169,3,,3689,0,—,1,105583,7,2,
Älvsborgs läns norra,12430,1,—,16754,1,—,29010,2,—,42750,2,—,2374,0,—,3,103321,6,25,
Älvsborgs läns södra,23272,1,—,13268,1,—-,16642,1,—,37164,2,—,2717,0,,1,93064,5,26,
Skaraborgs län ....,20817,1,—,25859,2,—,35722,2,—,47423,3,—,2452,0,—,—,132273,8,16,
Värmlands län ....,18060,1,—,15269,1,—,29872,2,—,78167,5,—,8393,0,—,3,149764,9,21,
Örebro län ,12781,1,1,11531,1,—,33123,2,—,70054,4,— 1,5633,0,,2,133124,8,27,
Västmanlands län. .,8468,0,,12235,1,—,21767,2,1,59330,4,—,3899,0,—,4,105703,7,24,
Kopparbergs län . .,13672,1,1,16346,1,— 1,30703,2,,70423,5,—,4928,0,,3,136075,9,10,
Gävleborgs län ....,10967,0,,16168,1,—,28156,2,—,78019,5,—,11494,1,—,2,144806,9,4,
Västernorrlands län,12295,1,—,18482,1,—,28385,2,—,80587,5,—,10364,0,,2,150115,9,23,
Jämtlands län ....,12233,1,1,10589,1,—,10266,0,— 1,38516,3,—,2,0,,3,71609,5,7,
Västerbottens län . .,13660,1,,13675,1,—,32559,2,—,53059,3,— 1,2352,0,—,4,115309,7,22,
Norrbottens län....,13354,1,—,9628,1,1,13052,1,—,55148,4,—,19025,1,-1,7,110214,8,15,
Sverige,543825,31,,406183,26,,924819,58,,1742284,110,,164194,5,,2402,3783707,230,NA,
