"Valkrets","H","C","F","S","K","cst","mag","Source"
"Stockholms stads",5,1,6,10,2,18,24,"https://web.archive.org/web/20150924122655/http://www.scb.se/Grupp/Hitta_statistik/Historisk_statistik/_Dokument/Valstatistiken/Valstatistik%20Riksdagsmannavalen%201961-1964%20I.pdf"
"Stockholms läns",3,1,4,7,1,17,16,
"Uppsala läns",1,1,1,2,0,20,5,
"Södermanlands läns",1,1,1,4,0,19,7,
"Östergötlands läns",2,2,1,6,0,28,11,
"Jönköpings läns",1,2,2,4,0,8,9,
"Kronobergs läns",1,2,0,2,0,12,5,
"Kalmar läns",1,2,1,3,0,9,7,
"Gotlands läns",0,2,0,1,0,3,3,
"Blekinge läns",0,1,1,3,0,1,5,
"Kristianstads läns",1,2,1,4,0,11,8,
"Fyrstadskretsen",2,1,2,7,0,13,12,
"Malmöhus läns",1,2,1,4,0,14,8,
"Hallands läns",1,1,1,2,0,6,5,
"Göteborgs stads",2,0,4,5,1,5,12,
"Bohus läns",1,1,2,3,0,2,7,
"Älvsborgs läns norra",1,1,1,3,0,25,6,
"Älvsborgs läns södra",1,1,1,2,0,26,5,
"Skaraborgs läns",1,2,2,3,0,16,8,
"Värmlands läns",1,1,1,5,1,21,9,
"Örebro läns",1,1,2,4,0,27,8,
"Västmanlands läns",1,1,1,4,0,24,7,
"Kopparbergs läns",1,2,1,5,0,10,9,
"Gävleborgs läns",1,1,1,5,1,4,9,
"Västernorrlands läns",0,1,1,5,1,23,8,
"Jämtlands läns",0,1,1,3,0,7,5,
"Västerbottens läns",1,1,2,3,0,22,7,
"Norrbottens läns",1,1,1,4,1,15,8,
,33,36,43,113,8,,233,
