Valkrets,H,C,F,S68,Mp,KDS,S,K,cst,mag,Source
Stockholms stads,4,1,5,0,0,0,11,1,18,22,https://web.archive.org/web/20150924122727/http://www.scb.se/Grupp/Hitta_statistik/Historisk_statistik/_Dokument/Valstatistiken/Valstatistik%20Riksdagsmannavalen%201965-1968%201.pdf
Stockholms läns,4,2,4,0,0,0,9,0,17,19,
Uppsala läns,1,1,1,0,0,0,3,0,20,6,
Södermanlands läns,1,1,1,0,0,0,4,0,19,7,
Östergötlands läns,1,2,2,0,0,0,6,0,28,11,
Jönköpings läns,2,2,1,0,0,0,4,0,8,9,
Kronobergs läns,1,2,0,0,0,0,2,0,12,5,
Kalmar läns,1,2,0,0,0,0,4,0,9,7,
Gotlands läns,0,0,0,0,2,0,1,0,3,3,
Blekinge läns,1,1,0,0,0,0,3,0,1,5,
Kristianstads läns,1,2,1,0,0,0,4,0,11,8,
Fyrstadskretsen,0,0,0,4,1,0,7,0,13,12,
Malmohus läns,1,2,1,0,0,0,4,0,14,8,
Hallands läns,1,2,0,0,0,0,2,0,6,5,
Göteborgs stads,2,0,4,0,0,0,6,1,5,13,
Bohus läns,1,1,2,0,0,0,3,0,2,7,
Älvsborgs läns norra,1,1,1,0,0,0,3,0,25,6,
Älvsborgs läns södra,1,1,0,0,0,0,3,0,26,5,
Skaraborgs läns,1,2,1,0,0,0,3,0,16,7,
Värmlands läns,1,1,1,0,0,0,5,0,21,8,
Örebro läns,1,1,1,0,0,0,5,0,27,8,
Västmanlands läns,0,1,1,0,0,0,5,0,24,7,
Kopparbergs läns,0,2,1,0,0,0,5,0,10,8,
Gävleborg läns,0,2,1,0,0,0,6,0,4,9,
Västernorrlands läns,0,2,1,0,0,0,5,0,23,8,
Jämtlands läns,0,1,1,0,0,0,3,0,7,5,
Västerbotten läns,1,1,1,0,0,0,4,0,22,7,
Norrbottens läns,1,1,0,0,0,0,5,1,15,8,
Sverige,29,37,32,4,3,0,125,3,NA,233,
